Electoral district name,Political affiliation,Given name,Surname,Votes obtained,% Votes obtained,Rejected ballots,Total number of ballots cast
Avalon,Liberal,Paul,Connors,27133,58.2,0,46596
Avalon,Conservative,Steve,Kent,16953,36.4,0,46596
Avalon,Parti Rhinocéros Party,Alexander,Tilley,230,0.5,0,46596
Avalon,NDP-New Democratic Party,Judy,Vanta,2280,4.9,0,46596
Cape Spear,Conservative,Corey,Curtis,11844,25.8,0,45987
Cape Spear,Liberal,Tom,Osborne,31387,68.3,0,45987
Cape Spear,Animal Protection Party,Mike,Peach,170,0.4,0,45987
Cape Spear,Green Party,Kaelem,Tingate,140,0.3,0,45987
Cape Spear,NDP-New Democratic Party,Brenda,Walsh,2446,5.3,0,45987
Central Newfoundland,Liberal,Lynette,Powell,17696,43.5,0,40637
Central Newfoundland,Conservative,Clifford,Small,21976,54.1,0,40637
Central Newfoundland,NDP-New Democratic Party,Darian,Vincent,965,2.4,0,40637
Labrador,Liberal,Philip,Earle,5811,51.5,0,11284
Labrador,NDP-New Democratic Party,Marius,Normore,764,6.8,0,11284
Labrador,Conservative,Ella,Wallace,4709,41.7,0,11284
Long Range Mountains,Conservative,Carol,Anstey,23232,50.3,0,46143
Long Range Mountains,Liberal,Don,Bradshaw,19726,42.7,0,46143
Long Range Mountains,Independent,Robbie,Coles,637,1.4,0,46143
Long Range Mountains,People's Party - PPC,Pamela,Geiger,535,1.2,0,46143
Long Range Mountains,NDP-New Democratic Party,Sarah,Parsons,2013,4.4,0,46143
St. John's East,Conservative,David,Brazil,11915,26,0,45859
St. John's East,Green Party,Otis,Crandell,159,0.3,0,45859
St. John's East,Communist,Samuel,Crête,94,0.2,0,45859
St. John's East,NDP-New Democratic Party,Mary,Shortall,5137,11.2,0,45859
St. John's East,Liberal,Joanne,Thompson,28554,62.3,0,45859
Terra Nova--The Peninsulas,Liberal,Anthony,Germain,19704,48,0,41073
Terra Nova--The Peninsulas,Conservative,Jonathan,Rowe,19692,47.9,0,41073
Terra Nova--The Peninsulas,NDP-New Democratic Party,Liam,Ryan,1677,4.1,0,41073
Cardigan,Conservative,James,Aylward,9448,37.4,0,25277
Cardigan,People's Party - PPC,Adam,Harding,180,0.7,0,25277
