Electoral District Name,Political Affiliation,Candidate's First Name / PrÈnom du candidat,Candidate's Family Name / Nom de famille du candidat
Avalon,Liberal Party of Canada,Paul,Connors
Avalon,Conservative Party of Canada,Steve,Kent
Avalon,Parti RhinocÈros Party,Alexander,Tilley
Avalon,New Democratic Party,Judy,Vanta
Cape Spear,Conservative Party of Canada,Corey,Curtis
Cape Spear,Liberal Party of Canada,Tom,Osborne
Cape Spear,Animal Protection Party of Canada,Mike,Peach
Cape Spear,Green Party of Canada,Kaelem,Tingate
Cape Spear,New Democratic Party,Brenda,Walsh
Central Newfoundland,Liberal Party of Canada,Lynette,Powell
Central Newfoundland,Conservative Party of Canada,Clifford,Small
Central Newfoundland,New Democratic Party,Darian,Vincent
Labrador,Liberal Party of Canada,Philip,Earle
Labrador,New Democratic Party,Marius,Normore
Labrador,Conservative Party of Canada,Ella,Wallace
Long Range Mountains,Conservative Party of Canada,Carol,Anstey
Long Range Mountains,Liberal Party of Canada,Don,Bradshaw
Long Range Mountains,Independent,Robbie,Coles
Long Range Mountains,People's Party of Canada,Pamela,Geiger
Long Range Mountains,New Democratic Party,Sarah,Parsons
St. John's East,Conservative Party of Canada,David,Brazil
St. John's East,Green Party of Canada,Otis,Crandell
St. John's East,Communist Party of Canada,Samuel,CrÍte
St. John's East,New Democratic Party,Mary,Shortall
St. John's East,Liberal Party of Canada,Joanne,Thompson
Terra Nova--The Peninsulas,Liberal Party of Canada,Anthony,Germain
Terra Nova--The Peninsulas,Conservative Party of Canada,Jonathan,Rowe
Terra Nova--The Peninsulas,New Democratic Party,Liam,Ryan
Cardigan,Conservative Party of Canada,James,Aylward
Cardigan,People's Party of Canada,Adam,Harding
Cardigan,Liberal Party of Canada,Kent,MacDonald
Cardigan,Independent,Wayne,Phelan
Cardigan,Green Party of Canada,Maria,Rodriguez
Cardigan,New Democratic Party,Lynne,Thiele
Charlottetown,New Democratic Party,Joe,Byrne
Charlottetown,Liberal Party of Canada,Sean,Casey
Charlottetown,Green Party of Canada,Daniel,Cousins
Charlottetown,Conservative Party of Canada,Natalie,Jameson
Charlottetown,People's Party of Canada,Robert,Lucas
Egmont,Green Party of Canada,Ranald,MacFarlane
Egmont,Conservative Party of Canada,Logan,McLellan
Egmont,Liberal Party of Canada,Bobby,Morrissey
Egmont,New Democratic Party,Carol,Rybinski
Malpeque,People's Party of Canada,Hilda,Baughan
Malpeque,Conservative Party of Canada,Jamie,Fox
Malpeque,Green Party of Canada,Anna,Keenan
Malpeque,Liberal Party of Canada,Heath,MacDonald
Malpeque,New Democratic Party,Cassie,Mackay
Acadie--Annapolis,Conservative Party of Canada,Chris,d'Entremont
Acadie--Annapolis,New Democratic Party,Ingrid,Deon
Acadie--Annapolis,Liberal Party of Canada,Ronnie,LeBlanc
Acadie--Annapolis,Green Party of Canada,Matthew,Piggott
Acadie--Annapolis,People's Party of Canada,James,Strange
